Author,Feature,Model,Accuracy,Precision,Recall,F1
DCundioglu,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,1.0,1.0,1.0
DCundioglu,TFIDF_Char_3gram,RandomForest,0.8958333333333334,1.0,1.0,1.0
DCundioglu,TFIDF_Char_3gram,SVM,0.8958333333333334,1.0,1.0,1.0
DCundioglu,TFIDF_Char_3gram,XGBoost,0.825,1.0,1.0,1.0
DCundioglu,TFIDF_Word_2gram,DecisionTree,0.2125,0.7777777777777778,0.875,0.8235294117647058
DCundioglu,TFIDF_Word_2gram,MLP,0.5708333333333333,0.6363636363636364,0.875,0.7368421052631579
DCundioglu,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.5833333333333334,0.875,0.7
DCundioglu,TFIDF_Word_2gram,RandomForest,0.45,1.0,0.75,0.8571428571428571
DCundioglu,TFIDF_Word_2gram,SVM,0.5333333333333333,0.875,0.875,0.875
DCundioglu,TFIDF_Word_2gram,XGBoost,0.425,0.8571428571428571,0.75,0.8
DCundioglu,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.5,0.25,0.3333333333333333
DCundioglu,TFIDF_Word_3gram,MLP,0.275,0.5,0.375,0.42857142857142855
DCundioglu,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.5,0.625,0.5555555555555556
DCundioglu,TFIDF_Word_3gram,RandomForest,0.2625,0.6666666666666666,0.25,0.36363636363636365
DCundioglu,TFIDF_Word_3gram,SVM,0.3125,0.6,0.375,0.46153846153846156
DCundioglu,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.5,0.25,0.3333333333333333
DUAribogan,BERT,DecisionTree,0.25416666666666665,0.3333333333333333,0.375,0.35294117647058826
DUAribogan,BERT,MLP,0.6041666666666666,0.6666666666666666,0.25,0.36363636363636365
DUAribogan,BERT,RandomForest,0.5083333333333333,0.42857142857142855,0.375,0.4
DUAribogan,BERT,SVM,0.4125,0.21052631578947367,0.5,0.2962962962962963
DUAribogan,BERT,XGBoost,0.4791666666666667,0.3333333333333333,0.25,0.2857142857142857
DUAribogan,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.875,0.875,0.875
DUAribogan,TFIDF_Char_2gram,MLP,0.9083333333333333,0.8888888888888888,1.0,0.9411764705882353
